word,total_error_percentage
t,1.2796991101733786
cause,0.846252637372718
marnie,0.5160077057150719
light,0.5160077057150719
uhm,0.4816071920007338
clip,0.4472066782863957
magnet,0.4380332079625722
paperclip,0.3852857536005871
wire,0.3761122832767636
marni,0.3738189156958077
doesn,0.3554719750481607
m,0.31189799100999904
magnets,0.28896431520044036
bulb,0.28437758003852853
don,0.2820842124575727
wires,0.2797908448766168
way,0.2637372718099257
marney,0.26144390422896985
notice,0.2545638014861022
noticed,0.2408035960003669
close,0.23851022841941105
paper,0.2178699201908082
thing,0.21557655260985234
know,0.20181634712411706
flow,0.18576277405742592
gets,0.17888267131455832
goes,0.17888267131455832
going,0.17429593615264655
water,0.17429593615264655
kinda,0.17200256857169066
bulbs,0.17200256857169066
use,0.1697092009907348
stick,0.1697092009907348
won,0.16512246582882306
mix,0.16282909824786718
clips,0.15594899550499952
salt,0.15594899550499952
metal,0.14906889276213192
ve,0.1398954224383084
circuit,0.1398954224383084
kind,0.13530868727639667
things,0.13301531969544078
pathway,0.13072195211448492
solution,0.13072195211448492
work,0.12842858453352904
ones,0.12613521695257315
ma,0.12613521695257315
want,0.12613521695257315
closed,0.12154848179066141
white,0.11466837904779378
need,0.11466837904779378
weight,0.11237501146683791
end,0.11237501146683791
maybe,0.11008164388588203
grapetastic,0.11008164388588203
sides,0.11008164388588203
solute,0.10549490872397027
middle,0.10320154114301439
plane,0.10320154114301439
plants,0.10320154114301439
little,0.10320154114301439
nail,0.10090817356205853
solutions,0.09861480598110264
grape,0.09861480598110264
capacity,0.09861480598110264
lights,0.09632143840014677
rivet,0.09632143840014677
makes,0.09632143840014677
weighs,0.09632143840014677
path,0.09632143840014677
grams,0.0940280708191909
let,0.0940280708191909
starts,0.0940280708191909
certain,0.09173470323823503
energy,0.09173470323823503
flows,0.09173470323823503
paperclips,0.08944133565727916
changed,0.08944133565727916
different,0.08944133565727916
sun,0.08944133565727916
cell,0.08714796807632327
l,0.08714796807632327
y,0.08714796807632327
mixed,0.0848546004953674
wood,0.0848546004953674
degree,0.08256123291441153
field,0.08256123291441153
gram,0.08256123291441153
attract,0.08256123291441153
milliliters,0.08256123291441153
pole,0.08256123291441153
plant,0.08026786533345565
heat,0.08026786533345565
battery,0.08026786533345565
think,0.08026786533345565
degrees,0.07797449775249976
touch,0.07797449775249976
sticks,0.07568113017154389
weighed,0.07568113017154389
li,0.07568113017154389
mean,0.07338776259058802
weigh,0.07338776259058802
didn,0.07109439500963213
mag,0.07109439500963213
went,0.07109439500963213
bands,0.06880102742867626
anymore,0.06880102742867626
mixture,0.06880102742867626
cells,0.06880102742867626
flowing,0.06880102742867626
washers,0.06880102742867626
measure,0.06880102742867626
start,0.06880102742867626
switch,0.06880102742867626
adding,0.06880102742867626
away,0.06650765984772039
connect,0.06650765984772039
wa,0.06650765984772039
wait,0.06650765984772039
stuff,0.06421429226676452
lot,0.06421429226676452
good,0.06421429226676452
rubberbands,0.06192092468580864
change,0.06192092468580864
circuits,0.06192092468580864
taste,0.06192092468580864
getting,0.06192092468580864
source,0.06192092468580864
system,0.05962755710485276
gray,0.05962755710485276
lit,0.05962755710485276
wind,0.05962755710485276
mixtures,0.05733418952389689
turned,0.05733418952389689
turns,0.05733418952389689
flag,0.05733418952389689
blah,0.05733418952389689
tastic,0.055040821942941014
salts,0.055040821942941014
tastes,0.055040821942941014
fields,0.055040821942941014
keeps,0.055040821942941014
length,0.055040821942941014
turn,0.055040821942941014
throw,0.055040821942941014
line,0.055040821942941014
separate,0.055040821942941014
wi,0.055040821942941014
fantastic,0.052747454361985135
millimeters,0.052747454361985135
thin,0.052747454361985135
cup,0.052747454361985135
electricity,0.052747454361985135
food,0.052747454361985135
h,0.052747454361985135
dissolve,0.050454086781029264
come,0.050454086781029264
moves,0.050454086781029264
revit,0.048160719200073386
systems,0.048160719200073386
dissolved,0.048160719200073386
magnetic,0.048160719200073386
sign,0.048160719200073386
connected,0.048160719200073386
hit,0.048160719200073386
hooked,0.048160719200073386
nails,0.048160719200073386
washer,0.048160719200073386
rock,0.048160719200073386
add,0.048160719200073386
ball,0.048160719200073386
trying,0.048160719200073386
round,0.045867351619117515
bright,0.045867351619117515
magnetism,0.045867351619117515
lighter,0.045867351619117515
look,0.045867351619117515
spin,0.045867351619117515
iron,0.045867351619117515
electromagnet,0.04357398403816164
air,0.04357398403816164
earth,0.04357398403816164
looks,0.04357398403816164
needs,0.04357398403816164
stay,0.04357398403816164
stop,0.04357398403816164
negative,0.04357398403816164
help,0.04357398403816164
try,0.04357398403816164
observed,0.041280616457205765
hits,0.041280616457205765
kept,0.041280616457205765
shows,0.041280616457205765
span,0.041280616457205765
burns,0.041280616457205765
ms,0.041280616457205765
pathways,0.041280616457205765
pull,0.041280616457205765
working,0.041280616457205765
said,0.041280616457205765
spoonfuls,0.041280616457205765
wrap,0.041280616457205765
sort,0.041280616457205765
wouldn,0.03898724887624988
color,0.03898724887624988
stays,0.03898724887624988
1st,0.03898724887624988
time,0.03898724887624988
observe,0.03669388129529401
materials,0.03669388129529401
solid,0.03669388129529401
co,0.03669388129529401
sieve,0.03669388129529401
force,0.03669388129529401
able,0.03669388129529401
took,0.03669388129529401
stops,0.03669388129529401
u,0.03669388129529401
wasn,0.03440051371433813
attracts,0.03440051371433813
subsystem,0.03440051371433813
subsystems,0.03440051371433813
goodbye,0.03440051371433813
heats,0.03440051371433813
poles,0.03440051371433813
doughnut,0.03440051371433813
float,0.03440051371433813
form,0.03440051371433813
lines,0.03440051371433813
run,0.03440051371433813
power,0.03440051371433813
stopped,0.03440051371433813
talk,0.03440051371433813
talking,0.03440051371433813
ways,0.03440051371433813
works,0.03440051371433813
winds,0.03440051371433813
touching,0.03440051371433813
wet,0.03440051371433813
bar,0.03440051371433813
cade,0.03440051371433813
click,0.03440051371433813
got,0.03440051371433813
rubber,0.03440051371433813
sunlight,0.03440051371433813
learned,0.03440051371433813
place,0.03440051371433813
share,0.03440051371433813
size,0.03440051371433813
isn,0.03210714613338226
thingy,0.03210714613338226
aluminum,0.03210714613338226
alumina,0.03210714613338226
bag,0.03210714613338226
kinds,0.03210714613338226
started,0.03210714613338226
travel,0.03210714613338226
lower,0.03210714613338226
epsom,0.03210714613338226
actually,0.03210714613338226
role,0.03210714613338226
cu,0.03210714613338226
filament,0.03210714613338226
main,0.03210714613338226
saint,0.03210714613338226
si,0.03210714613338226
stuck,0.03210714613338226
material,0.02981377855242638
setup,0.02981377855242638
balance,0.02981377855242638
blood,0.02981377855242638
grow,0.02981377855242638
important,0.02981377855242638
solar,0.02981377855242638
temporary,0.02981377855242638
gives,0.02981377855242638
eat,0.02981377855242638
mouth,0.02981377855242638
hold,0.02981377855242638
making,0.02981377855242638
panel,0.02981377855242638
sponge,0.02981377855242638
r,0.02981377855242638
real,0.02981377855242638
sand,0.02981377855242638
seeing,0.02981377855242638
send,0.02981377855242638
101s,0.027520410971470507
doorknob,0.027520410971470507
knob,0.027520410971470507
giving,0.027520410971470507
lightbulb,0.027520410971470507
planes,0.027520410971470507
concentrate,0.027520410971470507
disk,0.027520410971470507
lengths,0.027520410971470507
apart,0.027520410971470507
